Query	Predicted parents
prime_field	a symbolic analysis of relay and switching circuits, telecommunications, computer science, computer hardware, artificial intelligence
principal_coordinates_analysis	generalized procrustes analysis, principal component analysis, statistical shape analysis, multiple correspondence analysis, relationship square
principal_direction	artificial intelligence, pattern recognition, voxel, coordinate system, principal component analysis
principal_photography	computer graphics images, artificial intelligence, computer science, operating system, computer vision
principal_plane	projection, coordinate system, artificial intelligence, ellipsoidal coordinates, elliptic coordinate system
principal_point	rf portable, ogg page, nitroquinolines, nvsram, network isolator
principal_variation	artificial intelligence, operating system, machine learning, pattern recognition, computer hardware
processor_security	operating system, computer security, real time computing, computer hardware, embedded system
projective_curve	interpolation, spline interpolation, computer graphics images, computer vision, artificial intelligence
projective_invariant	seven dimensional space, interpolation space, hilbert manifold, interpolation, orthographic projection
projective_reconstruction_theorem	computer vision, artificial intelligence, spline interpolation, interpolation, bilinear interpolation
prolate_functions	domestic accident, color print film, wash rack, monochrome photography, industrial trauma
promise_theory	artificial intelligence, cybernetics, ontology, computer science, inference
protocol_window	operating system, file control block, unix file types, versioning file system, computer hardware
proxy_discovery	nsupdate, world wide web, web server, static web page, dynamic web page
quantum_complex_network	complex network, maximum entropy thermodynamics, transfer entropy, degree distribution, joint quantum entropy
quantum_compression	operating system, computer science, programming language, algorithm, computer hardware
quantum_counting	prosthesis surgery, internal hirudiniasis, eye vasculature, suspected physical abuse, hirudotherapy
quantum_functions	maximum entropy thermodynamics, joint quantum entropy, synchronization of chaos, schrodinger s cat, time reversibility
quantum_level	maximum entropy thermodynamics, dirac, joint quantum entropy, schrodinger s cat, operator
quantum_molecular	internal hirudiniasis, nystagmograph, wash rack, wearing eye protection, suspected physical abuse
quantum_pendulum	non inertial reference frame, dirac, operator, dirac sea, computation
quantum_processing_unit	computer science, artificial intelligence, operating system, computer hardware, algorithm
quantum_revolution	entropy and life, cybernetical physics, grandfather paradox, dirac sea, chaotic hysteresis
quantum_solid	dirac, maximum entropy thermodynamics, dirac sea, schrodinger s cat, joint quantum entropy
quantum_speed_limit	synchronization of chaos, maximum entropy thermodynamics, dirac, decoy state, joint quantum entropy
quantum_supremacy	decoy state, noise based logic, algorithmic information theory, maximum entropy thermodynamics, pp
quantum_transistor	logic gate, multiple emitter transistor, logic family, logic optimization, artificial intelligence
query_tree	web query classification, sargable, locality sensitive hashing, sort merge join, relational database
queuing_protocol	distributed transaction, internet protocol control protocol, layered queueing network, queueing theory, distributed concurrency control
radio_delay	telecommunications, transmitter, broadcasting, channel, telecommunications link
random_access_memory	operating system, computer data storage, semiconductor memory, interleaved memory, computer memory
random_formation	portable stretcher, prepress proofing, nail color, fonts on macintosh, outline of electronics
randomized_complexity	structural complexity theory, boolean satisfiability problem, sat, asymptotic computational complexity, max 3sat
randomized_computation	boolean satisfiability problem, structural complexity theory, asymptotic computational complexity, sat, computational complexity theory
range_frequency	supertalk, internal hirudiniasis, interrupt flag, piece table, faked death
real_name_system	world wide web, operating system, computer security, identifier, directory
real_options_analysis	payment, artificial intelligence, database transaction, computer science, service level requirement
real_time_intelligence	computer science, artificial intelligence, real time computing, machine learning, cybernetics
real_time_programming_languages	programming language, compiler, fifth generation programming language, lisp, procedural programming
relational_regression	trait, latent class model, confirmatory factor analysis, structural equation modeling, moderation
relative_aperture	supertalk, html sanitization, list poisoning, hirudotherapy, pict
remote_computing	operating system, computer hardware, wearable computer, embedded system, artificial intelligence
remote_control_system	computer hardware, operating system, embedded system, remote control, wearable computer
remote_function_call	operating system, computer hardware, embedded system, telecommunications, computer network
remote_imaging	operating system, artificial intelligence, computer hardware, universal software radio peripheral, unix
remote_infrastructure_management	emc vplex, open science grid consortium, data center services, hierarchical storage management, emc invista
repeated_random_sampling	internal hirudiniasis, eye vasculature, hirudotherapy, anatomical conduit, scleral staphyloma
resistive_loss	telecommunications, optical fiber, transmission line, pulsed power, radio frequency
resonance_energy_transfer	suspected physical abuse, general injuries, internal hirudiniasis, hirudotherapy, supertalk
resonance_width	pulse, modulation, graded index fiber, distortion, m derived filter
resource_based_learning	knowledge management, organizational learning, organizational commitment, personal knowledge management, community of practice
resource_protection	file control block, unix file types, versioning file system, volume boot record, file deletion
resource_structure	service level objective, service level requirement, knowledge management, business process, database
retrieval_system	database, information retrieval, artificial intelligence, data mining, search engine indexing
reusable_asset_specification	software development process, software engineering, unified modeling language, software quality, applications of uml
reverse_bias	backlight, pulse, liquid crystal display, burst dimming, constant fraction discriminator
reverse_computing	computer science, parallel computing, metacomputing, utility computing, integrated circuit
reverse_factor	credit default swap index, financial invoice, nnn lease, credit derivative, real time gross settlement
reverse_hierarchy	skeleton, ontology, relational model, relational database, process ontology
reverse_integration	business process modeling, enterprise architecture framework, integrated enterprise modeling, business process model and notation, enterprise modelling
reverse_marketing	online advertising, native advertising, search advertising, advertising account executive, sales promotion
risk_and_benefits	risk assessment, human factors and ergonomics, exposure assessment, margin of exposure, occupational toxicology
risk_limiting	risk assessment, charge off, sobriety checkpoint, expected value of including uncertainty, human factors and ergonomics
root_isolation	eye vasculature, monochrome photography, hirudotherapy, internal hirudiniasis, suspected physical abuse
scattering_low_coherence	wheelchair brakes, wheelchair tires, wearing eye protection, ringer box, hirudotherapy
scientific_programming_language	fifth generation programming language, procedural programming, jackson structured programming, lisp, symbolic programming
scientific_revolution	national historic chemical landmarks, international meeting on computational intelligence methods for bioinformatics and biostatistics, earth sciences graphics software, neocatastrophism, large technical system
scientific_survey	dinobdella ferox, blocking nose, ringer box, internal hirudiniasis, opisthotonic posturing
scripting_file	unix file types, programming language, command line interface, shell, file control block
scsi_programming_interface	extensible host controller interface xhci, host adapter, operating system, embedded system, scsi
self_access	computer science, operating system, artificial intelligence, programming language, world wide web
self_instruction	computer assisted instruction, computer science, educational technology, artificial intelligence, language assessment
self_policing	operating system, computer security, artificial intelligence, computer science, information and communications technology
self_service_technology	customer service assurance, service provider, service design, e commerce, service level objective
semantic_analysis	semantics, syntax, natural language processing, artificial intelligence, ontology
semantic_layer	ontology, upper ontology, owl s, ontology, ontology based data integration
semantic_linkage	database, ontology based data integration, relational database, relational model, data mining
semantic_media	social semantic web, owl s, semantic search, ontology, semantic technology
semantic_overload	process ontology, semantics, upper ontology, ontology, ontology
semantic_validity	semantics, artificial intelligence, inference, ontology, predicate
semantic_web_service	world wide web, web api, web page, static web page, social semantic web
semantic_wiki	social semantic web, owl s, ontology, process ontology, upper ontology
shared_mobility	parking guidance and information, operating system, distributed computing, server, the internet
shared_object	win32 thread information block, operating system, virtual memory, lock, garbage collection
shared_register	memory buffer register, semiconductor memory, memory address register, interleaved memory, computer data storage
shared_service	service provider, service level objective, customer service assurance, distributed transaction, database
shared_variable	programming language, operating system, computer science, parallel computing, computer hardware
shifted_fourier_transform	standard test and programming language, write amplification, extensible metadata platform, spoken language ability, relative pronoun
silica_cycle	suspected physical abuse, eye finding, idiopathic nystagmus, scleral staphyloma, auditory verbal agnosia
silicate_glass	automated auditory brainstem response, speech discrimination test, rehabilitation robotics, auditory verbal agnosia, myoelectric arm
silicon_graphics	computer graphics images, operating system, software rendering, graphics, parallel computing
silicon_nanotubes	suspected physical abuse, ottawa knee rules, automated auditory brainstem response, pressure ulcer risk, electrophysiological markers
silicon_nanowire	suspected physical abuse, automated auditory brainstem response, occupational toxicology, risk function analysis, toxicological concepts
simultaneous_component_analysis	multivariate statistics, linear regression, regression analysis, multivariate analysis of variance, rank correlation
singular_matrices	least squares, total least squares, spline interpolation, interpolation, non linear least squares
singular_method	nystagmograph, monochrome photography, wearing eye protection, internal hirudiniasis, contact eye
social_ad	social network, social media, online advertising, internet privacy, homophily
social_balance_theory	structural equation modeling, structuration theory, social network, external variable, organizational citizenship behavior
social_bond	outline of electronics, rf portable, monochrome photography, earth sciences graphics software, ibm 3270 pc
social_guidance	artificial intelligence, multimedia, knowledge management, library science, computer science
social_information	social network, knowledge management, social network analysis, organizational learning, knowledge value chain
social_innovation	organizational learning, open innovation, community informatics, knowledge management, innovation management
social_interactions	social network, homophily, organizational identification, organizational citizenship behavior, social complexity
social_interface	social network, knowledge management, artificial intelligence, social network analysis, organizational communication
social_machine	artificial intelligence, operating system, human computer interaction, computer science, mobile device
social_market	cointegration, credit default swap index, bond credit rating, asymmetric price transmission, credit derivative
social_mirror	artificial intelligence, embodied cognition, cybernetics, mirror image, arrow
societal_thinking	applied ethics, descriptive ethics, anticipatory governance, environmental health ethics, identity control theory
software_diversity	software development process, software development, agile software development, software engineering, software quality
software_equation	software engineering, software quality, computer science, software construction, simulation
software_intelligence	computer science, software engineering, software quality, software development process, software development
solid_logic	logic family, logic gate, integrated circuit, logic optimization, multiple emitter transistor
solid_solubility	juvenile x linked retinoschisis, congenital retinoschisis, eye finding, normal voice, auditory verbal agnosia
solid_state_electron	suspected physical abuse, general injuries, hirudotherapy, automated auditory brainstem response, industrial trauma
solid_state_transformer	output impedance, transmission line, damping factor, actuator, shaft voltage
solid_stress	scaffold, international meeting on computational intelligence methods for bioinformatics and biostatistics, electroencephalography, intrinsic optical imaging, ictal
solution_casting	composite number, printed circuit board, wave soldering, taguchi methods, shape memory alloy
spectral_extraction	hirudotherapy, internal hirudiniasis, general injuries, ringer box, faked death
speech_applications	speech recognition, speech synthesis, speech corpus, voice activity detection, acoustic model
speech_imitation	speech recognition, artificial intelligence, speech production, intelligibility, speech processing
speech_sounds	intel ct, primary atmosphere, titan, substance of very high concern, wash rack
square_pixel	pixel, color image, color space, color balance, subpixel rendering
square_potential	hirudotherapy, internal hirudiniasis, suspected physical abuse, adverse outcome pathway, high production volume chemicals
squared_function	spline interpolation, least squares, total least squares, interpolation, non linear least squares
srm_algorithm	artificial intelligence, support vector machine, pattern recognition, machine learning, classifier
stability_augmentation_system	artificial intelligence, programming language, computer science, robot, computer hardware
stability_testing	test management approach, software quality, shewhart individuals control chart, test case, test suite
statistical_grammar	syntax, artificial intelligence, natural language processing, machine learning, semantics
statistical_machine	artificial intelligence, machine learning, classifier, deep learning, hidden markov model
statistical_probabilities	portable stretcher, wash rack, outline of electronics, diaphragm check, monochrome photography
statistical_resistance	f test, kolmogorov smirnov test, hartley s test, ancillary statistic, cramer von mises criterion
straight_average	x bar chart, yen s algorithm, tree rotation, pocket cube, sprint
strogatz_model	monochrome photography, color print film, nystagmograph, nail color, prepress proofing
substitution_calculus	zeroth order logic, propositional variable, cut elimination theorem, second order logic, simply typed lambda calculus
susceptibility_contrast	photoacoustic tomography, full spectral imaging, focal dyscognitive seizures, intrinsic optical imaging, optical coherence tomography scanner
symbolic_evaluation	programming language, procedural programming, symbolic programming, computer science, functional logic programming
symbolic_modeling	programming language, artificial intelligence, computer science, machine learning, procedural programming
symmetric_quotient	banach space, finite rank operator, operator, hilbert space, compact operator
symmetric_transformations	programming language, pyramid, computer graphics images, projection, escher
symmetry_breaking_constraints	dirac spinor, dirac algebra, operator, dirac, dirac sea
symmetry_element	projection, ellipsoidal coordinates, coordinate system, elliptic coordinate system, parabolic coordinates
synaptic_cleft	wash rack, domestic accident, color print film, faked death, wearing eye protection
synchronous_memory	interleaved memory, semiconductor memory, memory buffer register, memory refresh, memory controller
synchronverter	computer hardware, operating system, artificial intelligence, embedded system, computer science
syntactic_function	syntax, modal verb, relative clause, relational grammar, noun phrase
system_registry	log shipping, database, versioning file system, unix file types, stub file
system_service_descriptor_table	operating system, database, computer hardware, unix file types, file control block
tape_loop	lever, plunger, cartridge, servo, tape head
tau_test	hybrot, prosthesis surgery, contact eye, eye vasculature, portable stretcher
taylor_diagram	balance equation, monte carlo method in statistical physics, entropy, configuration entropy, hybrid monte carlo
technical_computing	international meeting on computational intelligence methods for bioinformatics and biostatistics, open science grid consortium, computer science, metacomputing, computer engineering
technical_defense	skeleton as a whole, intrinsic optical imaging, cultured neuronal network, nephila antipodiana, neural tissue engineering
technical_document_management_system	documentation, cataloging, database, database catalog, metadata
technical_informatics	international meeting on computational intelligence methods for bioinformatics and biostatistics, geographic information science and technology body of knowledge, earth sciences graphics software, hybrot, informative modelling
technology_life_cycle_theory	internal hirudiniasis, scleral staphyloma, fixation nystagmus, nystagmograph, dinobdella ferox
technology_transfer	scaffold, near me area network, telecommunications, knowledge management, open innovation
temporal_expressions	transfer entropy, magnetoencephalography, spike directivity, electroencephalography, stochastic resonance
tensor_imaging	domestic accident, general injuries, list poisoning, home accidents, start times
testing	test management approach, medical software, software development process, iso iec 29119, software quality
text_engineering	computer science, programming language, software engineering, programming domain, software construction
the_scientific_development	international meeting on computational intelligence methods for bioinformatics and biostatistics, statistical bibliography, national historic chemical landmarks, informative modelling, large technical system
the_wave_language	artificial intelligence, natural language processing, grammar, universal networking language, programming language
theory_of_field	internal hirudiniasis, hirudotherapy, domestic accident, wash rack, monochrome photography
three_level_architecture	database, computer science, software engineering, programming language, software
transient_reactor	cooperative eye hypothesis, stereopsis recovery, national historic chemical landmarks, right iris, white sclera
transition_function	operator, markov property, transfer entropy, maximum entropy thermodynamics, markov chain
transition_map	voxel, segmentation, computer vision, spatial analysis, pattern recognition
translational_neuroscience	hybrot, connectomics, neural engineering, computation and neural systems, biological neural network
transmembrane_receptor	kv1 2 channel, tandem pore domain potassium channel, h 120, nephila antipodiana, hippi
transmembrane_voltage	output impedance, common mode signal, transmission line, cable gland, waveform
transport_geography	street hierarchy, near me area network, open science grid consortium, shopping mall, pedestrian transport
transport_hub	inland port, dry port, port, fanout cable, middle mile
transport_layer_security_channel	computer security, computer network, telecommunications, network security policy, operating system
transport_theory	monochrome photography, nail color, suspected physical abuse, hirudotherapy, nystagmograph
tree_parity	artificial intelligence, algorithm, programming language, pattern recognition, artificial neural network
triangular_norm	artificial intelligence, fuzzy logic, membership function, algorithm, fuzzy set
underwater_vehicle	remotely operated underwater vehicle, artificial intelligence, robot, mobile robot, sonar
unified_display_interface	shell, natural user interface, user interface, operating system, 10 foot user interface
unified_memory	operating system, interleaved memory, parallel computing, virtual memory, computer data storage
unified_power_flow	real time computing, operating system, telecommunications, computer science, computer network
unified_theory_of_cognition	artificial intelligence, cybernetics, ontology, neural modeling fields, embodied cognition
uniform_cost	artificial intelligence, guided local search, null move heuristic, 2 opt, suurballe s algorithm
universal_curve	computer graphics images, programming language, composite number, operator, artificial intelligence
universal_dielectric	composite number, electroactive polymers, operator, dirac, ternary operation
universal_element	artificial intelligence, programming language, operating system, computer hardware, cable gland
utility_network	computer science, data aggregator, database, complex network, data mining
van_der_aalst	monochrome photography, telechrome, color print film, photographic filter, lines per inch
virtual_analysis	artificial intelligence, operating system, computer science, programming language, simulation
virtual_ethnography	social media, human computer interaction, virtual reality, metaverse, social affordance
virtual_execution_system	real time computing, simulation, virtual machine, thread, operating system
virtual_folder	world wide web, operating system, database, computer hardware, artificial intelligence
virtual_networking_computing	cloud computing, virtualization, distributed computing, operating system, internet of things
virtual_socket_interface	operating system, embedded system, computer hardware, artificial intelligence, simulation
virtual_state_machine	artificial intelligence, programming language, robot control, robot, computer science
virtual_surround_system	artificial intelligence, computer vision, augmented reality, virtual reality, multimedia
viscous_flow	bubble, computer simulation, breaking wave, liquid bubble, rayleigh plesset equation
viscous_resistance	bubble, liquid bubble, needle valve, sandwich structured composite, composite number
visual_graphics	computer facial animation, animation, computer graphics images, real time computer graphics, computer animation
visual_indexing	artificial intelligence, computer vision, cognitive neuroscience of visual object recognition, visualization, eye tracking
visual_networking	artificial intelligence, multimedia, social network, social media, mobile device
visual_neuroscience	artificial intelligence, connectomics, facial expression, voxel, embodied cognition
visual_privacy	internet privacy, information privacy, privacy by design, privacy software, anonymity
visual_pun	artificial intelligence, computer vision, machine learning, programming language, multimedia
visual_reinforcement	artificial intelligence, eye movement, machine learning, facial expression, robot
vocode	speech recognition, audio signal flow, audio signal, adaptive multi rate audio codec, telecommunications
voltage_controlled_resistor	multiple emitter transistor, common mode signal, latching switch, logic family, output impedance
volterra_function	spectral theorem, fourier integral operator, hilbert space, operator, delta operator
volume_gas	bubble, needle valve, volatile, liquid bubble, pulsed power
volunteer_computing	computer science, utility computing, cloud computing, distributed computing, operating system
von_kries	artificial intelligence, color vision, trichromacy, colour vision, hue
von_neumann_machine	artificial intelligence, computer science, operating system, programming language, machine learning
vortex86	embedded system, operating system, field programmable gate array, hardware description language, hardware compatibility list
vowel_system	vowel, consonant, diphthong, mid vowel, syllable
vulnerability_discovery_model	software quality, data mining, computer science, software development process, business process discovery
waring_distribution	monochrome photography, prosthesis surgery, hirudotherapy, optophone, video encoded invisible light
wave_mechanics	artificial intelligence, programming language, computer science, algorithm, operator
waveform_velocity	pulse, rayleigh wave, surface wave, stokes wave, inertance
web_agent	artificial intelligence, world wide web, web api, static web page, the internet
web_calling	world wide web, the internet, operating system, static web page, artificial intelligence
web_cluster	world wide web, static web page, the internet, web page, dynamic web page
web_harvesting	world wide web, static web page, web page, database, information retrieval
web_index	world wide web, database, search engine, web page, artificial intelligence
web_of_knowledge	web intelligence, world wide web, information retrieval, social semantic web, library science
web_performance_optimization	static web page, web page, world wide web, web search engine, search engine
web_port	world wide web, static web page, web page, web api, dynamic web page
web_protocol_stack	internet protocol control protocol, reverse address resolution protocol, internet protocol suite, internet protocol, ipv4
web_service_level_agreement	customer service assurance, service level objective, service provider, service design, service level requirement
web_standard	world wide web, web standards, web application, web service, web api
website_content_development	world wide web, web page, static web page, multimedia, web api
weight_average	x bar chart, nemenyi test, hartley s test, kendall tau distance, linear regression
weighted_risk	artificial intelligence, risk assessment, ranking, fuzzy logic, machine learning
weyl_transform	dirac spinor, clifford analysis, fourier integral operator, dirac operator, rigged hilbert space
white_box_cryptography	computer security, cryptography, stuxnet, cryptosystem, elliptic curve cryptography
wide_complex_tachycardia	pulse, artificial intelligence, computer science, electroencephalography, operating system
wiegand_protocol	operating system, computer hardware, telecommunications, computer network, channel
wiener_integral	hirudotherapy, internal hirudiniasis, suspected physical abuse, choking game, domestic accident
wiimote	robot, wearable computer, virtual reality, haptic technology, humanoid robot
wijngaarden	lambert conformal conic projection, geodetic network, seadatanet, polyconic projection, inventory number
wild_field	invention of radio, rock s law, ferranti mark 1, telegraphy, operation olympic games
wilkinson_adc	cmos, pulse, low noise amplifier, integrated circuit, signal transfer function
wind_industry	leaf sensor, top500, computer science, international meeting on computational intelligence methods for bioinformatics and biostatistics, balance of plant
windowing	operating system, audio signal flow, computer hardware, audio signal, real time computing
windows_address	double boot, beginthread, int 13h, specfs, file control block
windows_driver	operating system, embedded system, computer hardware, windows vista, unix
windows_embedded	intel matrix raid, gnu linux, windows ce, operating system, windows vista
windows_interfaces	gnu linux, windows server, red hat enterprise linux, squashfs, openzfs
windows_live_search	ad text optimization, web search engine, spambot, organic search, search analytics
windows_management	boot sector, file control block, virtual tape library, backup software, int 13h
windows_script_host	windows server, file control block, unix file types, cplink, cut copy and paste
wire_energy	wi fi array, fanout cable, telecommunications, fiber optic splitter, key distribution in wireless sensor networks
wireless_transfer_protocol	wi fi array, key distribution in wireless sensor networks, bluetooth, ieee 802 11, wi fi
wold_decomposition	monochrome photography, internal hirudiniasis, wearing eye protection, nystagmograph, color print film
worst_case_circuit	simulation, embedded system, real time computing, operating system, computer science
wrestling	fantasy, adventure, video game design, blockhead, sexual fantasy
xml_firewall	xml signature, xml encryption, web application security, nsupdate, xml validation
xml_names	document type definition, xml schema editor, sgml, xml encryption, xml signature
xmpp_protocol	operating system, world wide web, interoperability, the internet, xml signature
xpress_transfer_protocol	programming language, computer science, operating system, software engineering, artificial intelligence
xscale	field programmable gate array, hardware description language, semulation, intel ct, verilog
z_theorem	finite rank operator, abelian extension, galois cohomology, galois module, banach space
zacualpan	html sanitization, color print film, html attribute, ogg page, monochrome photography
zein	nystagmograph, fixation nystagmus, congenital retinoschisis, scleral staphyloma, internal hirudiniasis
zero_degrees_of_freedom	total least squares, least squares, linear least squares, convergence tests, non linear least squares
zero_intelligence	artificial intelligence, computer science, decision theory, fuzzy logic, machine learning
zero_momentum	coordinate system, dirac spinor, computer graphics images, operator, dirac sea
zero_norm	lp space, finite rank operator, spectral theorem, banach space, approximation property
zipf_mandelbrot	artificial intelligence, computer science, programming language, operating system, machine learning
zoetropes	hirudotherapy, adverse outcome pathway, toxicological concepts, substance of very high concern, high production volume chemicals
